action,positionScreen,time,visitor_id,time_from_session_start,time_between_action,inactive
touchUp_0,"(1009.00, 272.00)",53733.28,1732891230278,0.0,0.0,False
touchDown_0,"(1671.00, 508.00)",53737.09,1732891230278,3.8099999999976717,3.8099999999976717,False
Button_Continue_openCosent,"(1671.00, 508.00)",53737.09,1732891230278,3.8099999999976717,0.0,False
touchUp_0,"(1671.00, 508.00)",53737.16,1732891230278,3.8800000000046566,0.07000000000698492,False
touchDown_0,"(1614.00, 319.00)",53737.98,1732891230278,4.700000000004366,0.819999999999709,False
touchUp_0,"(1650.00, 339.00)",53738.93,1732891230278,5.650000000001455,0.9499999999970896,False
touchDown_0,"(1607.00, 763.00)",53739.34,1732891230278,6.059999999997672,0.4099999999962165,False
touchUp_0,"(1631.00, 288.00)",53739.58,1732891230278,6.30000000000291,0.2400000000052387,False
touchDown_0,"(1595.00, 686.00)",53740.03,1732891230278,6.75,0.4499999999970896,False
Exhibit_Main Entrance,"(1595.00, 686.00)",53740.03,1732891230278,6.75,0.0,False
touchUp_0,"(1634.00, 294.00)",53740.48,1732891230278,7.200000000004366,0.4500000000043656,False
touchDown_0,"(1660.00, 687.00)",53740.89,1732891230278,7.610000000000582,0.4099999999962165,False
touchUp_0,"(1670.00, 417.00)",53741.09,1732891230278,7.809999999997672,0.19999999999708962,False
touchDown_0,"(1735.00, 422.00)",53741.76,1732891230278,8.480000000003201,0.6700000000055297,False
touchUp_0,"(1733.00, 330.00)",53743.84,1732891230278,10.559999999997672,2.0799999999944703,False
touchDown_0,"(1680.00, 728.00)",53744.73,1732891230278,11.450000000004366,0.8900000000066939,False
touchUp_0,"(1664.00, 368.00)",53745.14,1732891230278,11.860000000000582,0.4099999999962165,False
touchDown_0,"(1647.00, 664.00)",53745.74,1732891230278,12.459999999999127,0.5999999999985448,False
touchUp_0,"(1647.00, 449.00)",53745.95,1732891230278,12.669999999998254,0.20999999999912689,False
touchDown_0,"(133.00, 338.00)",53746.45,1732891230278,13.169999999998254,0.5,False
touchUp_0,"(176.00, 195.00)",53746.66,1732891230278,13.380000000004657,0.21000000000640284,False
touchDown_0,"(145.00, 378.00)",53747.56,1732891230278,14.279999999998836,0.8999999999941792,False
